observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-07T13:40:58Z,eq2jaN3J8jMC,Four decades of inland invasion by Formosan subterranean termite in Alabama: expansion associated with transportation infrastructure,"XP Hu, N Mizumoto","EcoEvoRxiv, 2026",2026,0
2026-08-07T13:40:58Z,9vf0nzSNQJEC,Hidden role plasticity of the reproductive caste in a morphologically differentiated termite society,"N Mizumoto, CH Kaliang, T Kanao","Oikos, e12492, 2026",2026,0
2026-08-07T13:40:58Z,dTyEYWd-f8wC,Body-like coordination emerges in paired termite locomotion,"N Mizumoto, S Kamimoto","bioRxiv, 2026.05. 22.727143, 2026",2026,0
2026-08-07T13:40:58Z,JoZmwDi-zQgC,Colony phase structure favors permanent worker evolution in juvenile social systems,N Mizumoto,"bioRxiv, 2026.04. 24.720620, 2026",2026,0
2026-08-07T13:40:58Z,_B80troHkn4C,Independent evolution of a living bridge in the old world army ant lineage,"N Mizumoto, K Arimoto, CH Kaliang, T Kanao","The Science of Nature 113 (2), 28, 2026",2026,0
2026-08-07T13:40:58Z,SdhP9T11ey4C,The evolutionary origin of group recruitment in acorn ants.,"GN Doering, S Gerardi, N Mizumoto, TA Linksvayer","APS Global Physics Summit 2026, 2026",2026,0
2026-08-07T13:40:58Z,Y5dfb0dijaUC,Testing the inbreeding hypothesis of neo-sex-chromosome evolution,"M Adams, K Kikuchi, S Araki, T Yashiro, N Mizumoto, S Hellemans, ...",,2025,0
2026-08-07T13:40:58Z,t6usbXjVLHcC,Diversification of pre-mating behaviors through temporal reordering of components,"E Carroll, T Kanao, N Lo, N Mizumoto","bioRxiv, 2025.10. 22.683896, 2025",2025,0
2026-08-07T13:40:58Z,XiVPGOgt02cC,Evolution of sideways locomotion in crabs,"J Taniguchi, T Inoue, K Kohara, JF Huang, A Hirai, N Mizumoto, ...","bioRxiv, 2025.09. 20.677458, 2025",2025,0
2026-08-07T13:40:58Z,PELIpwtuRlgC,小型生物へ複合刺激を印加可能にするサーボスフィアの制御と評価,志垣俊介， 永谷直久， 水元惟暁， 梅本和希， 龍宏亮， 藤澤隆介,"システム制御情報学会 研究発表講演会講演論文集 第 69 回システム制御情報学会研 …, 2025",2025,0
2026-08-07T13:40:58Z,bnK-pcrLprsC,Japan Eco-Evo English Seminar (JEEES): A platform for international science exchange and professional development in Japan,"H Fujioka, N Mizumoto, JM Kass","Japanese Journal of Ecology 75 (1), 119-126, 2025",2025,0
2026-08-07T13:40:58Z,1qzjygNMrQYC,おおい町および若狭町におけるナカジマシロアリ Glyptotermes nakajimai の報告,水元惟暁,"福井市自然史博物館研究報告= Bulletin of the Fukui City Museum of Natural …, 2024",2024,0
2026-08-07T13:40:58Z,u9iWguZQMMsC,Protocol to obtain long movement trajectories of leaders and followers in ant tandem runs,"Y Tanaka, G Valentini, SC Pratt, H Shimoji, N Mizumoto","STAR protocols 4 (4), 2023",2023,0
2026-08-07T13:40:58Z,eMMeJKvmdy0C,Evolution of leader-follower role in termite tandem runs,"N Mizumoto, K Kikuchi, S Hellemans, T Bourguignon, N Bailey",,2023,0
2026-08-07T13:40:58Z,OU6Ihb5iCvQC,"私とシロアリ, そして VR",水元惟暁,"日本バーチャルリアリティ学会誌 27 (2), 8-11, 2022",2022,0
2026-08-07T13:40:58Z,p2g8aNsByqUC,シロアリのランデブー探索,水元惟暁,"オペレーションズ・リサーチ 67, 167-172, 2022",2022,0
2026-08-07T13:40:58Z,zA6iFVUQeVQC,Convergent evolution of termite tunneling with differentiated behavioral rules,"N Mizumoto, P Bardunias, SC Pratt","Entomology 2019, 2019",2019,0
2026-08-07T13:40:58Z,2P1L_qKh6hAC,Sexually differential movements and optimization of mating encounters,N MIZUMOTO,"Japanese Journal of Animal Psychology 69 (1), 17-25, 2019",2019,0
2026-08-07T13:40:58Z,rO6llkc54NcC,生物の探索行動と建設行動のパターン形成アルゴリズムに関する研究,水元惟暁,"(No Title), 2018",2018,0
2026-08-07T13:40:58Z,RYcK_YlVTxYC,シロアリのオスによる同性ペアの機能と意義の解明,水元惟暁,"昆虫と自然/昆虫と自然編集委員会 編 53 (2), 9-12, 図巻頭 1p, 2018",2018,0
2026-08-07T13:40:58Z,O3NaXMp0MMsC,自己組織化から拓く社会性昆虫の生態学,水元惟暁， 土畑重人,"日本ロボット学会誌 35 (6), 448-454, 2017",2017,0
2026-08-07T13:40:58Z,ns9cj8rnVeAC,シロアリの構造物形成の自己組織化研究: ヤマトシロアリの蟻道建設におけるコロニー特異性,水元惟暁,"しろあり= Termite journal, 21-25, 2015",2015,0
2026-08-07T13:40:58Z,d1gkVwhDpl0C,Emergence of colony-specific architectures in termite shelter-tube construction,"N Mizumoto, K Kobayashi, K Matsuura","IUSSI, 2014",2014,0
