observed_at_utc,paper_id,title,authors,venue,year,citations
2026-08-05T21:46:00Z,B3FOqHPlNUQC,The strength of sexual signals predicts same-sex pairing in two Coptotermes termites,"N Mizumoto, SB Lee, T Chouvenc","Behavioral Ecology 35 (5), arae067, 2024",2024,9
2026-08-05T21:46:00Z,dshw04ExmUIC,Functional and mechanistic diversity in ant tandem communication,"N Mizumoto, Y Tanaka, G Valentini, TO Richardson, S Annagiri, SC Pratt, ...","IScience 26 (4), 2023",2023,9
2026-08-05T21:46:00Z,D03iK_w7-QYC,Spirotrichonymphea (Parabasalia) symbionts of the termite Paraneotermes simplicicornis,"SJ Taerum, DE Jasso-Selles, JT Hileman, F De Martini, N Mizumoto, ...","European Journal of Protistology 76, 125742, 2020",2020,9
2026-08-05T21:46:00Z,YFjsv_pBGBYC,Pairing strategy after today's failure: unpaired termites synchronize mate search using photic cycles,"N Mizumoto, T Fuchikawa, K Matsuura","Population Ecology 59 (3), 205-211, 2017",2017,9
2026-08-05T21:46:00Z,uWQEDVKXjbEC,Extinct and extant termites reveal the fidelity of behavior fossilization in amber,"N Mizumoto, S Hellemans, MS Engel, T Bourguignon, A Buček","Proceedings of the National Academy of Sciences 121 (12), e2308922121, 2024",2024,8
2026-08-05T21:46:00Z,M05iB0D1s5AC,"Molecular Phylogenetic Position of Hoplonympha natator (Trichonymphea, Parabasalia): Horizontal Symbiont Transfer or Differential Loss?","ED Mee, MG Gaylor, DE Jasso‐Selles, N Mizumoto, GH Gile","Journal of Eukaryotic Microbiology 67 (2), 268-272, 2020",2020,7
2026-08-05T21:46:00Z,D_sINldO8mEC,Maintaining tandem movement cohesion through antennal movements in termites,"N Mizumoto, S Reiter","Journal of The Royal Society Interface 22 (232), 20250487, 2025",2025,6
2026-08-05T21:46:00Z,WbkHhVStYXYC,Wasted efforts impair random search efficiency and reduce choosiness in mate-pairing termites,"N Mizumoto, N Nagaya, R Fujisawa","The American Naturalist 204 (6), 589-599, 2024",2024,6
2026-08-05T21:46:00Z,XiSMed-E-HIC,The significance of social interactions in synchronized swarming flight in a termite,"N Mizumoto, T Nozaki","Biology Letters 20 (11), 20240423, 2024",2024,6
2026-08-05T21:46:00Z,sSrBHYA8nusC,Subterranean termites (Coptotermes formosanus [Blattodea: Rhinotermitidae]) colonies can readily intercept commercial inground bait stations placed at label …,"K Gazdick, SB Lee, N Mizumoto, T Chouvenc, NY Su","Journal of Economic Entomology 118 (3), 1363-1372, 2025",2025,5
